table_number,table_title,title_fr,row_label,row_kind,year,value,provisional,n_editions,agreement,edition,page
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Titres de l'Etat auprés public,data,2021,1409.1,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Titres de l'Etat auprés public,data,2022,2656.7,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Titres de l'Etat auprés public,data,2023,4233.7,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Titres émis par l'administration centrale,data,2021,63.8,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Titres émis par l'administration centrale,data,2022,151.7,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,Titres émis par l'administration centrale,data,2023,183.9,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,financiers,data,2021,14138.1,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,financiers,data,2022,15232.5,False,1,single source,2023,245
15.3,Agrégats de monnaie et autres ressources مجمعات العملة و الموارد األخرى3,agrégats de monnaie et autres ressources 3,financiers,data,2023,16565.0,False,1,single source,2023,245
12.2.4,Balance du traﬁc des mandats ﻣﻴﺰﺍﻥ ﻧﺸﺎﻁ ﺍﻟﺤﻮﺍﻻﺕ4,balance du tra c des mandats 4,Mandats payés en Tunisie,data,2003,290631.0,False,1,single source,2007,202
12.2.4,Balance du traﬁc des mandats ﻣﻴﺰﺍﻥ ﻧﺸﺎﻁ ﺍﻟﺤﻮﺍﻻﺕ4,balance du tra c des mandats 4,Mandats payés en Tunisie,data,2004,327789.0,False,2,confirmed,2008,202
12.2.4,Balance du traﬁc des mandats ﻣﻴﺰﺍﻥ ﻧﺸﺎﻁ ﺍﻟﺤﻮﺍﻻﺕ4,balance du tra c des mandats 4,Mandats payés en Tunisie,data,2005,383284.0,False,3,confirmed,2009,206
12.2.4,Balance du traﬁc des mandats ﻣﻴﺰﺍﻥ ﻧﺸﺎﻁ ﺍﻟﺤﻮﺍﻻﺕ4,balance du tra c des mandats 4,Mandats payés en Tunisie,data,2006,424075.0,False,3,confirmed,2009,206
12.2.4,Balance du traﬁc des mandats ﻣﻴﺰﺍﻥ ﻧﺸﺎﻁ ﺍﻟﺤﻮﺍﻻﺕ4,balance du tra c des mandats 4,Mandats payés en Tunisie,data,2007,484440.0,False,3,confirmed,2009,206
12.2.4,Balance du traﬁc des mandats ﻣﻴﺰﺍﻥ ﻧﺸﺎﻁ ﺍﻟﺤﻮﺍﻻﺕ4,balance du tra c des mandats 4,Mandats payés en Tunisie,data,2008,519637.0,False,2,confirmed,2009,206
12.2.4,Balance du traﬁc des mandats ﻣﻴﺰﺍﻥ ﻧﺸﺎﻁ ﺍﻟﺤﻮﺍﻻﺕ4,balance du tra c des mandats 4,Mandats payés en Tunisie,data,2009,530234.0,False,1,single source,2009,206
12.2.4,Balance du traﬁc des mandats ﻣﻴﺰﺍﻥ ﻧﺸﺎﻁ ﺍﻟﺤﻮﺍﻻﺕ4,balance du tra c des mandats 4,Mandats émis en Tunisie,data,2003,12089.0,False,1,single source,2007,202
12.2.4,Balance du traﬁc des mandats ﻣﻴﺰﺍﻥ ﻧﺸﺎﻁ ﺍﻟﺤﻮﺍﻻﺕ4,balance du tra c des mandats 4,Mandats émis en Tunisie,data,2004,14936.0,False,2,confirmed,2008,202
12.2.4,Balance du traﬁc des mandats ﻣﻴﺰﺍﻥ ﻧﺸﺎﻁ ﺍﻟﺤﻮﺍﻻﺕ4,balance du tra c des mandats 4,Mandats émis en Tunisie,data,2005,17880.0,False,3,confirmed,2009,206
12.2.4,Balance du traﬁc des mandats ﻣﻴﺰﺍﻥ ﻧﺸﺎﻁ ﺍﻟﺤﻮﺍﻻﺕ4,balance du tra c des mandats 4,Mandats émis en Tunisie,data,2006,20777.0,False,3,confirmed,2009,206
12.2.4,Balance du traﬁc des mandats ﻣﻴﺰﺍﻥ ﻧﺸﺎﻁ ﺍﻟﺤﻮﺍﻻﺕ4,balance du tra c des mandats 4,Mandats émis en Tunisie,data,2007,21270.0,False,3,confirmed,2009,206
12.2.4,Balance du traﬁc des mandats ﻣﻴﺰﺍﻥ ﻧﺸﺎﻁ ﺍﻟﺤﻮﺍﻻﺕ4,balance du tra c des mandats 4,Mandats émis en Tunisie,data,2008,24938.0,False,2,confirmed,2009,206
12.2.4,Balance du traﬁc des mandats ﻣﻴﺰﺍﻥ ﻧﺸﺎﻁ ﺍﻟﺤﻮﺍﻻﺕ4,balance du tra c des mandats 4,Mandats émis en Tunisie,data,2009,30151.0,False,1,single source,2009,206
12.2.4,Balance du traﬁc des mandats ﻣﻴﺰﺍﻥ ﻧﺸﺎﻁ ﺍﻟﺤﻮﺍﻻﺕ4,balance du tra c des mandats 4,Solde,data,2003,278541.0,False,1,single source,2007,202
12.2.4,Balance du traﬁc des mandats ﻣﻴﺰﺍﻥ ﻧﺸﺎﻁ ﺍﻟﺤﻮﺍﻻﺕ4,balance du tra c des mandats 4,Solde,data,2004,312853.0,False,2,confirmed,2008,202
12.2.4,Balance du traﬁc des mandats ﻣﻴﺰﺍﻥ ﻧﺸﺎﻁ ﺍﻟﺤﻮﺍﻻﺕ4,balance du tra c des mandats 4,Solde,data,2005,365404.0,False,3,confirmed,2009,206
12.2.4,Balance du traﬁc des mandats ﻣﻴﺰﺍﻥ ﻧﺸﺎﻁ ﺍﻟﺤﻮﺍﻻﺕ4,balance du tra c des mandats 4,Solde,data,2006,403298.0,False,3,confirmed,2009,206
12.2.4,Balance du traﬁc des mandats ﻣﻴﺰﺍﻥ ﻧﺸﺎﻁ ﺍﻟﺤﻮﺍﻻﺕ4,balance du tra c des mandats 4,Solde,data,2007,463170.0,False,3,confirmed,2009,206
12.2.4,Balance du traﬁc des mandats ﻣﻴﺰﺍﻥ ﻧﺸﺎﻁ ﺍﻟﺤﻮﺍﻻﺕ4,balance du tra c des mandats 4,Solde,data,2008,494699.0,False,2,confirmed,2009,206
12.2.4,Balance du traﬁc des mandats ﻣﻴﺰﺍﻥ ﻧﺸﺎﻁ ﺍﻟﺤﻮﺍﻻﺕ4,balance du tra c des mandats 4,Solde,data,2009,500083.0,False,1,single source,2009,206
