series,description,unit,year,month,t,running,treated,value,log_value,published_share
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2003,8,2003.5833333333333,-89,False,19429.0,9.874522074243114,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2003,9,2003.6666666666667,-88,False,25589.0,10.149917850625528,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2003,10,2003.75,-87,False,29255.0,10.283805778222337,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2003,11,2003.8333333333333,-86,False,25246.0,10.136423006312807,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2003,12,2003.9166666666667,-85,False,26166.0,10.172216137070821,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2004,1,2004.0,-84,False,29353.0,10.287150034683448,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2004,2,2004.0833333333333,-83,False,20021.0,9.904537001671699,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2004,3,2004.1666666666667,-82,False,28039.0,10.241351677174485,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2004,4,2004.25,-81,False,27326.0,10.215593908898434,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2004,5,2004.3333333333333,-80,False,28412.0,10.254566870117701,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2004,6,2004.4166666666667,-79,False,27145.0,10.208948146339551,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2004,7,2004.5,-78,False,23200.0,10.0519075576544,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2004,8,2004.5833333333333,-77,False,22412.0,10.017351808685175,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2004,9,2004.6666666666667,-76,False,29275.0,10.284489188465917,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2004,10,2004.75,-75,False,31837.0,10.368384414413704,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2004,11,2004.8333333333333,-74,False,30144.0,10.31374117737609,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2004,12,2004.9166666666667,-73,False,30625.0,10.329571947847029,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2005,1,2005.0,-72,False,29940.0,10.30695065797362,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2005,2,2005.0833333333333,-71,False,26276.0,10.176411254012363,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2005,3,2005.1666666666667,-70,False,33861.0,10.430019188623737,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2005,4,2005.25,-69,False,33042.0,10.405534758490537,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2005,5,2005.3333333333333,-68,False,34612.0,10.451955721726629,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2005,6,2005.4166666666667,-67,False,31096.0,10.344834472532058,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2005,7,2005.5,-66,False,26496.0,10.184749057184986,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2005,8,2005.5833333333333,-65,False,28542.0,10.259131965660336,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2005,9,2005.6666666666667,-64,False,35160.0,10.467664351799113,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2005,10,2005.75,-63,False,38236.0,10.551532759183653,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2005,11,2005.8333333333333,-62,False,32291.0,10.382543832613134,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2005,12,2005.9166666666667,-61,False,33732.0,10.426202220694533,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2006,1,2006.0,-60,False,29588.0,10.295124152707759,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2006,2,2006.0833333333333,-59,False,30525.0,10.326301298978905,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2006,3,2006.1666666666667,-58,False,35424.0,10.475144835508363,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2006,4,2006.25,-57,False,34969.0,10.462217233709174,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2006,5,2006.3333333333333,-56,False,39041.0,10.572367654953075,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2006,6,2006.4166666666667,-55,False,35606.0,10.480269441964808,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2006,7,2006.5,-54,False,31236.0,10.349326554782566,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2006,8,2006.5833333333333,-53,False,32096.0,10.376486690761663,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2006,9,2006.6666666666667,-52,False,40017.0,10.597059642809153,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2006,10,2006.75,-51,False,41661.0,10.63732071836749,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2006,11,2006.8333333333333,-50,False,36915.0,10.516373251493265,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2006,12,2006.9166666666667,-49,False,36997.0,10.518592107258032,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2007,1,2007.0,-48,False,36834.0,10.514176610655552,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2007,2,2007.0833333333333,-47,False,36426.0,10.503038084358488,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2007,3,2007.1666666666667,-46,False,41130.0,10.62449306122447,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2007,4,2007.25,-45,False,41912.0,10.643327461088056,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2007,5,2007.3333333333333,-44,False,43516.0,10.680883965540973,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2007,6,2007.4166666666667,-43,False,40575.0,10.610907392382792,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2007,7,2007.5,-42,False,35339.0,10.472742448925512,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2007,8,2007.5833333333333,-41,False,35952.0,10.48993999442511,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2007,9,2007.6666666666667,-40,False,43110.0,10.67151026774118,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2007,10,2007.75,-39,False,47573.0,10.770020652394722,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2007,11,2007.8333333333333,-38,False,41500.0,10.63344870621879,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2007,12,2007.9166666666667,-37,False,40573.0,10.610858099732317,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2008,1,2008.0,-36,False,40733.0,10.614793853711983,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2008,2,2008.0833333333333,-35,False,42223.0,10.650720375249316,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2008,3,2008.1666666666667,-34,False,46221.0,10.741189519249884,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2008,4,2008.25,-33,False,47062.0,10.759221160315827,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2008,5,2008.3333333333333,-32,False,46870.0,10.755133090916752,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2008,6,2008.4166666666667,-31,False,42669.0,10.661227940238337,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2008,7,2008.5,-30,False,39406.0,10.581673367955913,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2008,8,2008.5833333333333,-29,False,39811.0,10.591898534995632,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2008,9,2008.6666666666667,-28,False,47860.0,10.776035361462364,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2008,10,2008.75,-27,False,43614.0,10.68313347871269,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2008,11,2008.8333333333333,-26,False,41855.0,10.641966543094156,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2008,12,2008.9166666666667,-25,False,41313.0,10.628932499395235,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2009,1,2009.0,-24,False,42378.0,10.654384638636976,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2009,2,2009.0833333333333,-23,False,40884.0,10.618494067448967,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2009,3,2009.1666666666667,-22,False,45528.0,10.72608280028296,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2009,4,2009.25,-21,False,45715.0,10.730181750598527,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2009,5,2009.3333333333333,-20,False,44691.0,10.707527418047702,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2009,6,2009.4166666666667,-19,False,44698.0,10.707684036871369,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2009,7,2009.5,-18,False,41000.0,10.621327345686446,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2009,8,2009.5833333333333,-17,False,42436.0,10.655752337579163,1.0
money_orders,Money orders sent from abroad and paid in Tunisia (12.2.8),thousand dinars,2009,9,2009.6666666666667,-16,False,46934.0,10.756497638482541,1.0
