outcome,frequency,scale,method,bandwidth,donut,n_left,n_right,tau,se,honest_lo,honest_hi,worst_case_bias,honest_excludes_zero,bias_exceeds_estimate,randomisation_p,randomisation_floor,smoothness,refused
industrial_prices: Industries chimiques (base 2000),monthly,log,continuity,36,0,36,24,0.025807,0.016431,-0.147796,0.19941,0.146576,False,True,,,0.000733,
industrial_prices: Industries chimiques (base 2000),monthly,log,continuity,36,1,36,23,0.029772,0.017157,-0.15655,0.216093,0.158101,False,True,,,0.000733,
industrial_prices: Industries chimiques (base 2000),monthly,log,continuity,60,0,60,24,0.002853,0.012242,-0.335167,0.340874,0.317885,False,True,,,0.000733,
industrial_prices: Industries chimiques (base 2000),monthly,log,continuity,60,1,60,23,0.006985,0.012579,-0.343691,0.357661,0.329985,False,True,,,0.000733,
industrial_prices: Industries chimiques (base 2000),monthly,log,randomisation,6,0,6,7,,,,,,False,False,0.002331,0.0005827505827505828,0.000733,
industrial_prices: Industries chimiques (base 2000),monthly,log,randomisation,12,0,12,13,,,,,,False,False,5e-05,1.9229659827317656e-07,0.000733,
industrial_prices: Industries chimiques (base 2010),monthly,log,continuity,6,0,6,7,0.006874,0.003227,-0.001019,0.014767,0.002566,False,False,,,0.00035,
industrial_prices: Industries chimiques (base 2010),monthly,log,continuity,6,1,6,6,0.006685,0.006467,-0.007879,0.02125,0.003782,False,False,,,0.00035,
industrial_prices: Industries chimiques (base 2010),monthly,log,continuity,12,0,12,13,0.01788,0.007379,-0.003911,0.039672,0.009653,False,False,,,0.00035,
industrial_prices: Industries chimiques (base 2010),monthly,log,continuity,12,1,12,12,0.022513,0.007801,-0.002352,0.047378,0.012033,False,False,,,0.00035,
industrial_prices: Industries chimiques (base 2010),monthly,log,continuity,24,0,12,25,0.033641,0.017237,-0.021112,0.088395,0.026401,False,False,,,0.00035,
industrial_prices: Industries chimiques (base 2010),monthly,log,continuity,24,1,12,24,0.045822,0.017988,-0.014902,0.106546,0.031137,False,False,,,0.00035,
industrial_prices: Industries chimiques (base 2010),monthly,log,continuity,36,0,12,37,0.071021,0.026081,-0.021406,0.163448,0.049527,False,False,,,0.00035,
industrial_prices: Industries chimiques (base 2010),monthly,log,continuity,36,1,12,36,0.086093,0.025331,-0.012195,0.184382,0.056623,False,False,,,0.00035,
industrial_prices: Industries chimiques (base 2010),monthly,log,continuity,60,0,12,61,0.090532,0.029207,-0.080885,0.261949,0.123376,False,True,,,0.00035,
industrial_prices: Industries chimiques (base 2010),monthly,log,continuity,60,1,12,60,0.101522,0.027422,-0.078781,0.281825,0.135197,False,True,,,0.00035,
industrial_prices: Industries chimiques (base 2010),monthly,log,randomisation,6,0,6,7,,,,,,False,False,0.001166,0.0005827505827505828,0.00035,
industrial_prices: Industries chimiques (base 2010),monthly,log,randomisation,12,0,12,13,,,,,,False,False,5e-05,1.9229659827317656e-07,0.00035,
industrial_prices: Industries diverses (base 2000),monthly,log,continuity,6,0,6,7,0.013039,0.001041,0.006409,0.019668,0.004917,True,False,,,0.000671,
industrial_prices: Industries diverses (base 2000),monthly,log,continuity,6,1,6,6,0.011954,0.001344,0.002498,0.02141,0.007245,True,False,,,0.000671,
industrial_prices: Industries diverses (base 2000),monthly,log,continuity,12,0,12,13,0.009231,0.002413,-0.013231,0.031693,0.018494,False,True,,,0.000671,
industrial_prices: Industries diverses (base 2000),monthly,log,continuity,12,1,12,12,0.006557,0.003205,-0.021769,0.034882,0.023054,False,True,,,0.000671,
industrial_prices: Industries diverses (base 2000),monthly,log,continuity,24,0,24,24,0.00863,0.002439,-0.068215,0.085474,0.072832,False,True,,,0.000671,
industrial_prices: Industries diverses (base 2000),monthly,log,continuity,24,1,24,23,0.006823,0.002767,-0.079633,0.09328,0.081905,False,True,,,0.000671,
industrial_prices: Industries diverses (base 2000),monthly,log,continuity,36,0,36,24,0.002832,0.005,-0.13953,0.145193,0.134137,False,True,,,0.000671,
industrial_prices: Industries diverses (base 2000),monthly,log,continuity,36,1,36,23,0.001777,0.004924,-0.151006,0.154559,0.144683,False,True,,,0.000671,
industrial_prices: Industries diverses (base 2000),monthly,log,continuity,60,0,60,24,-0.00342,0.006242,-0.304594,0.297753,0.290907,False,True,,,0.000671,
industrial_prices: Industries diverses (base 2000),monthly,log,continuity,60,1,60,23,-0.004211,0.006082,-0.308287,0.299864,0.30198,False,True,,,0.000671,
industrial_prices: Industries diverses (base 2000),monthly,log,randomisation,6,0,6,7,,,,,,False,False,0.000583,0.0005827505827505828,0.000671,
industrial_prices: Industries diverses (base 2000),monthly,log,randomisation,12,0,12,13,,,,,,False,False,5e-05,1.9229659827317656e-07,0.000671,
