governorate,year,indicator,breakdown,value,unit,n_editions,agreement,source_title
Kairouan,2011,bank_branches,,27.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kairouan,2012,bank_branches,,20.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kairouan,2013,bank_branches,,20.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kairouan,2014,bank_branches,,28.0,branches,6,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kairouan,2015,bank_branches,,30.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kairouan,2016,bank_branches,,31.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kairouan,2017,bank_branches,,32.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kairouan,2018,bank_branches,,33.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kasserine,1995,bank_branches,,10.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Kasserine,1996,bank_branches,,10.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Kasserine,1997,bank_branches,,11.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Kasserine,1998,bank_branches,,11.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kasserine,1999,bank_branches,,11.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kasserine,2000,bank_branches,,11.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kasserine,2001,bank_branches,,11.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kasserine,2002,bank_branches,,11.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kasserine,2003,bank_branches,,11.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kasserine,2004,bank_branches,,11.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kasserine,2005,bank_branches,,11.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kasserine,2006,bank_branches,,11.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kasserine,2007,bank_branches,,12.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kasserine,2008,bank_branches,,13.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Kasserine,2010,bank_branches,,16.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Kasserine,2011,bank_branches,,16.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kasserine,2012,bank_branches,,16.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kasserine,2013,bank_branches,,17.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kasserine,2014,bank_branches,,18.0,branches,6,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kasserine,2015,bank_branches,,19.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kasserine,2016,bank_branches,,21.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kasserine,2017,bank_branches,,22.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kasserine,2018,bank_branches,,23.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kébili,1995,bank_branches,,6.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Kébili,1996,bank_branches,,7.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Kébili,1997,bank_branches,,7.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Kébili,1998,bank_branches,,7.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kébili,1999,bank_branches,,7.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kébili,2000,bank_branches,,7.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kébili,2001,bank_branches,,7.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kébili,2002,bank_branches,,7.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kébili,2003,bank_branches,,7.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kébili,2004,bank_branches,,7.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kébili,2005,bank_branches,,7.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kébili,2006,bank_branches,,8.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kébili,2007,bank_branches,,8.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kébili,2008,bank_branches,,9.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Kébili,2010,bank_branches,,9.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Kébili,2011,bank_branches,,9.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kébili,2012,bank_branches,,9.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kébili,2013,bank_branches,,10.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kébili,2014,bank_branches,,11.0,branches,6,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kébili,2015,bank_branches,,13.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kébili,2016,bank_branches,,13.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kébili,2017,bank_branches,,13.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Kébili,2018,bank_branches,,14.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Le Kef,1995,bank_branches,,14.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Le Kef,1996,bank_branches,,14.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Le Kef,1997,bank_branches,,14.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Le Kef,1998,bank_branches,,14.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Le Kef,1999,bank_branches,,14.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Le Kef,2000,bank_branches,,15.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Le Kef,2001,bank_branches,,15.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Le Kef,2002,bank_branches,,15.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Le Kef,2003,bank_branches,,15.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Le Kef,2004,bank_branches,,15.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Le Kef,2005,bank_branches,,15.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Le Kef,2006,bank_branches,,15.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Le Kef,2007,bank_branches,,16.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Le Kef,2008,bank_branches,,17.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Le Kef,2010,bank_branches,,18.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Le Kef,2011,bank_branches,,18.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Le Kef,2012,bank_branches,,18.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Le Kef,2013,bank_branches,,19.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Le Kef,2014,bank_branches,,21.0,branches,6,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Le Kef,2015,bank_branches,,22.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Le Kef,2016,bank_branches,,22.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Le Kef,2017,bank_branches,,22.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Le Kef,2018,bank_branches,,22.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Mahdia,1995,bank_branches,,18.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Mahdia,1996,bank_branches,,20.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Mahdia,1997,bank_branches,,20.0,branches,1,single source,evolution du réseau bancaire par gouvernorat 2.15
Mahdia,1998,bank_branches,,21.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Mahdia,1999,bank_branches,,21.0,branches,3,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Mahdia,2000,bank_branches,,23.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Mahdia,2001,bank_branches,,23.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Mahdia,2002,bank_branches,,24.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Mahdia,2003,bank_branches,,24.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Mahdia,2004,bank_branches,,24.0,branches,5,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Mahdia,2005,bank_branches,,24.0,branches,4,confirmed,evolution du réseau bancaire par gouvernorat 2.15
Mahdia,2006,bank_branches,,27.0,branches,2,confirmed,evolution du réseau bancaire par gouvernorat 2.15
