indicator,year,governorate,breakdown,summed,printed,gap,reason
population_by_age,2018,Kébili,60-64,,,9.0,men plus women do not make the figure printed for both sexes
population_by_age,2018,Kébili,65-69,,,6.5,men plus women do not make the figure printed for both sexes
population_by_age,2018,Kébili,70-74,,,3.8000000000000003,men plus women do not make the figure printed for both sexes
population_by_age,2018,Kébili,75-79,,,3.4999999999999996,men plus women do not make the figure printed for both sexes
population_by_age,2018,Kébili,80+,,,4.0,men plus women do not make the figure printed for both sexes
population_by_age,2007,Le Kef,45-49,,,0.20000000000000284,men plus women do not make the figure printed for both sexes
population_by_age,2007,Le Kef,50-54,,,0.20000000000000107,men plus women do not make the figure printed for both sexes
population_by_age,2007,Le Kef,55-59,,,0.29999999999999893,men plus women do not make the figure printed for both sexes
population_by_age,2007,Le Kef,60-64,,,0.1999999999999993,men plus women do not make the figure printed for both sexes
population_by_age,2008,Le Kef,05-09,,,0.19999999999999574,men plus women do not make the figure printed for both sexes
population_by_age,2008,Le Kef,10-14,,,0.40000000000000213,men plus women do not make the figure printed for both sexes
population_by_age,2008,Le Kef,15-19,,,0.29999999999999716,men plus women do not make the figure printed for both sexes
population_by_age,2008,Le Kef,25-29,,,0.3000000000000007,men plus women do not make the figure printed for both sexes
population_by_age,2009,Le Kef,45-49,,,6.5,men plus women do not make the figure printed for both sexes
population_by_age,2009,Le Kef,50-54,,,5.399999999999999,men plus women do not make the figure printed for both sexes
population_by_age,2009,Le Kef,55-59,,,2.8000000000000007,men plus women do not make the figure printed for both sexes
population_by_age,2009,Le Kef,60-64,,,2.8000000000000007,men plus women do not make the figure printed for both sexes
population_by_age,2009,Le Kef,65-69,,,2.6999999999999993,men plus women do not make the figure printed for both sexes
population_by_age,2009,Le Kef,70-74,,,1.4000000000000004,men plus women do not make the figure printed for both sexes
population_by_age,2009,Le Kef,75-79,,,1.2999999999999998,men plus women do not make the figure printed for both sexes
population_by_age,2009,Le Kef,80+,,,1.8000000000000007,men plus women do not make the figure printed for both sexes
population_by_age,2014,Le Kef,00-04,,,0.1999999999999993,men plus women do not make the figure printed for both sexes
population_by_age,2007,Mahdia,45-49,,,0.3000000000000007,men plus women do not make the figure printed for both sexes
population_by_age,2007,Mahdia,50-54,,,0.3000000000000007,men plus women do not make the figure printed for both sexes
population_by_age,2007,Mahdia,55-59,,,0.40000000000000036,men plus women do not make the figure printed for both sexes
population_by_age,2008,Mahdia,00-04,,,0.29999999999999716,men plus women do not make the figure printed for both sexes
population_by_age,2008,Mahdia,10-14,,,0.4000000000000057,men plus women do not make the figure printed for both sexes
population_by_age,2008,Mahdia,15-19,,,0.3999999999999986,men plus women do not make the figure printed for both sexes
population_by_age,2008,Mahdia,25-29,,,0.3999999999999986,men plus women do not make the figure printed for both sexes
population_by_age,2008,Mahdia,30-34,,,0.3999999999999986,men plus women do not make the figure printed for both sexes
population_by_age,2008,Mahdia,35-39,,,0.40000000000000213,men plus women do not make the figure printed for both sexes
