product_code,product_label_fr,consumption_function_code,consumption_function,consumption_function_fr
1317,Fraise,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1318,Figue de barbarie,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1319,Autres fruits à pépins,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1321,Abricot,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1322,Nèfle,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1323,Pèche,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1324,Prune,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1325,Dattes vertes,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1326,Olives vertes (non en conserve),1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1327,capres vert,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1329,Autres fruits à noyaux (cerise),1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1330,Dattes degla,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1331,Dattes aligh,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1332,Kenta,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1333,Dattes communes,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1334,Raisin sec,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1335,Amande sèche avec coque,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1336,Amande sèche sans coque,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1337,Kharroub,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1338,Figue sèche,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1339,Autres fruits secs,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1341,Amande verte,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1342,Banane,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1343,Fruits de cueillette,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1349,Autres fruits non ventilés ailleurs,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1351,Arachide sèche décortiquée,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1352,Arachide sèche non décortiquée,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1353,"Pignon, pistache, noisette, noix, mélange",1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1354,Graine de courge et de tournesol,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1355,Graines de maïs grillé,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1356,Jeljlan + tahina,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1357,Zgougou,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1359,Autres graines et noix (et dépense ventilées),1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1361,"Fruits en conserve(péche,ananas...)",1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1401,Viande de mouton,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1402,Tête et pattes  de mouton,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1403,Mouton vivant,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1411,Viande bovine avec os,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1412,Viande bovine sans os,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
1413,Viande de tête et pattes de  bovin,1,Food and non-alcoholic beverages,Produits alimentaires et boissons non alcoolisées
